,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,1839,BNB,BNB,bnb,2326,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144006835.97,144006835.97,False,,6,,,,2025-01-03T18:51:00.000Z,713.219427496793,1785352164.5388103,-5.7497,0.36611647,1.14680774,2.71780222,-2.85818012,29.16463086,26.8890398,102708473106.14796,2.9332,102708473106.15,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
6,74,Dogecoin,DOGE,dogecoin,1137,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,147473216383.7052,147473216383.7052,True,,7,,,,2025-01-03T18:51:00.000Z,0.3786549819611614,4021566047.7017865,18.4075,0.63524969,11.90212251,20.6515396,-8.14032183,142.16289228,249.31426426,55841468089.526344,1.5947,55841468089.53,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
7,3408,USDC,USDC,usd-coin,24393,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,45149590568.66167,45149590568.66167,False,,8,,,,2025-01-03T18:51:00.000Z,1.0001648987766822,6706296165.054709,-9.6061,0.02161767,0.02537992,0.01291305,0.01124205,0.01067573,0.02838764,45157035680.91415,1.2889,45157035680.91,,2025-01-03T18:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-01-03 18:51:42.090661
8,2010,Cardano,ADA,cardano,1426,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season']",45000000000.0,35139781273.91349,44995129917.33332,False,,9,,,,2025-01-03T18:51:00.000Z,1.0832616767668477,2237598035.343097,50.4889,-0.19096388,13.21480154,21.70985477,-7.94273603,231.01795865,210.36666255,38065578383.9998,1.0869,48746775454.51,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
9,1958,TRON,TRX,tron,1096,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season']",,86193256439.11777,86193263707.8049,True,,10,,,,2025-01-03T18:51:00.000Z,0.2693945943068042,906001425.0787972,8.0891,0.32910939,2.07260194,3.27809092,-18.90811026,64.67886986,75.26321885,23219997350.398468,0.6631,23219999308.54,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
10,5805,Avalanche,AVAX,avalanche,833,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,410139983.3194564,448476283.3194564,False,,11,,,,2025-01-03T18:50:00.000Z,42.11399041909357,564766837.782046,-0.9949,0.71776016,7.28306578,12.92349764,-22.36968136,83.38724392,65.07004698,17272631328.00278,0.4934,30143034694.44,,2025-01-03T18:50:00.000Z,,,,,,2025-01-03 18:51:42.090661
11,1975,Chainlink,LINK,chainlink,1910,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2025-01-03T18:51:00.000Z,23.789678359064894,860900536.1761988,-16.02,0.39887089,6.88797632,5.36654983,-4.65623397,130.60751846,112.06867773,15180193058.000607,0.4334,23789678359.06,,2025-01-03T18:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-03 18:51:42.090661
12,11419,Toncoin,TON,toncoin,645,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2539248552.3899746,5118929363.06038,True,,13,,,,2025-01-03T18:51:00.000Z,5.797816786316531,178038148.56390837,0.924,0.02650963,3.00140186,-0.65594973,-16.35458008,21.22771216,10.26464208,14722097881.676546,0.4204,29678614589.12,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
13,20947,Sui,SUI,sui,502,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,3009569341.533888,10000000000.0,False,,14,,,,2025-01-03T18:51:00.000Z,4.738752902611487,1093936784.4763756,9.375,0.8719735,8.96653212,13.02176511,30.27593793,155.40718744,171.67519858,14261605452.804253,0.4073,47387529026.11,,2025-01-03T18:51:00.000Z,,,,,,2025-01-03 18:51:42.090661
14,5994,Shiba Inu,SHIB,shiba-inu,924,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255369576813.6,589508472868996.1,False,,15,,,,2025-01-03T18:51:00.000Z,2.416566050997893e-05,583421653.6027632,0.1866,0.36411443,6.08859275,10.73573903,-19.01084517,43.8338207,40.48686254,14239745214.875444,0.4066,14245861623.11,,2025-01-03T18:51:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-01-03 18:51:42.090661
